"matched_baseline_rows","file","start_sample","time_noise","return_sample","sweep","Event_Time","Record","event_time","baseline_current","peak_current","amplitude","event_id","noise","event_index","file_prefix","baseline_time","event_entry_number","corrected_baseline_index","corrected_baseline_time","corrected_baseline_pA","corrected_amplitude_pA"
"[{'Event.Number': '2474', 'Record': '3', 'Event.Time..s.': '96.7275', 'Baseline..pA.': '-108.53166903435', 'Peak..pA.': '-122.104923305827', 'Amplitude..pA.': '-13.5732542714771', 'Rise.Time..ms.': '1.05000000000643', 'Half.Width..ms.': '22.350000000003', 'Decay.Time..ms.': '22.9499999999945', 'Decay.Fit.b0': '-76.7200400843735', 'Decay.Fit.b1': '-74.3950321570501', 'Decay.Fit.Tau..ms.': '32.6387323177011', 'AUC..pA.ms.': '-547.05577705763', 'rise_max_time': '96.72535', 'baseline_time': '96.7243', 'event_index': '434550', 'file_prefix': '2024_06_20_0025', 'event_id': '2024_06_20_0025_ev02474_rec3', 'noise': 'no', 'event_entry_number': '176407', 'corrected_baseline_index': 434496, 'corrected_baseline_time': np.float64(96.7248), 'corrected_baseline_pA': np.float64(-127.25829315185547), 'corrected_amplitude_pA': np.float64(5.153369846028468)}]","2024_06_20_0025.abf",434483,"[np.float64(96.72415), np.float64(96.7242), np.float64(96.72425), np.float64(96.7243)]",434486,3,"2474","3","96.7275","-108.53166903435","-122.104923305827","-13.5732542714771","2024_06_20_0025_ev02474_rec3","no","434550","2024_06_20_0025","96.7243","176407","434496","96.7248","-127.25829315185547","5.153369846028468"
"[{'Event.Number': '2475', 'Record': '3', 'Event.Time..s.': '96.7592', 'Baseline..pA.': '-20.7539812197643', 'Peak..pA.': '-226.714631137734', 'Amplitude..pA.': '-205.96064991797', 'Rise.Time..ms.': '5.00000000000966', 'Half.Width..ms.': '34.5999999999975', 'Decay.Time..ms.': '30.0000000000011', 'Decay.Fit.b0': '-125.949292057169', 'Decay.Fit.b1': '-49.7159542359492', 'Decay.Fit.Tau..ms.': '3.78261891125723', 'AUC..pA.ms.': '-4000.59823320792', 'rise_max_time': '96.75905', 'baseline_time': '96.75405', 'event_index': '435184', 'file_prefix': '2024_06_20_0025', 'event_id': '2024_06_20_0025_ev02475_rec3', 'noise': 'no', 'event_entry_number': '176408', 'corrected_baseline_index': 435092, 'corrected_baseline_time': np.float64(96.7546), 'corrected_baseline_pA': np.float64(-124.81688690185547), 'corrected_amplitude_pA': np.float64(-101.89774423587852)}]","2024_06_20_0025.abf",435075,"[np.float64(96.75375), np.float64(96.7538), np.float64(96.75385), np.float64(96.7539), np.float64(96.75395), np.float64(96.754), np.float64(96.75404999999999), np.float64(96.7541)]",435082,3,"2475","3","96.7592","-20.7539812197643","-226.714631137734","-205.96064991797","2024_06_20_0025_ev02475_rec3","no","435184","2024_06_20_0025","96.75405","176408","435092","96.7546","-124.81688690185547","-101.89774423587852"
"[{'Event.Number': '288', 'Record': '0', 'Event.Time..s.': '10.5978', 'Baseline..pA.': '67.5920646304176', 'Peak..pA.': '-143.61572265625', 'Amplitude..pA.': '-211.207787286668', 'Rise.Time..ms.': '9.40000000000118', 'Half.Width..ms.': '41.0000000000004', 'Decay.Time..ms.': '29.9999999999994', 'Decay.Fit.b0': '-120.837458768484', 'Decay.Fit.b1': '-20.358834613836', 'Decay.Fit.Tau..ms.': '4.927574487744', 'AUC..pA.ms.': '-7962.83264448075', 'rise_max_time': '10.5962', 'baseline_time': '10.5868', 'event_index': '211956', 'file_prefix': '2024_06_25_0006', 'event_id': '2024_06_25_0006_ev00288_rec0', 'noise': 'no', 'event_entry_number': '181087', 'corrected_baseline_index': 211747, 'corrected_baseline_time': np.float64(10.587349999999999), 'corrected_baseline_pA': np.float64(-133.85009765625), 'corrected_amplitude_pA': np.float64(-9.765625)}]","2024_06_25_0006.abf",211730,"[np.float64(10.5865), np.float64(10.586549999999999), np.float64(10.586599999999999), np.float64(10.586649999999999), np.float64(10.586699999999999), np.float64(10.586749999999999), np.float64(10.586799999999998), np.float64(10.586849999999998)]",211737,0,"288","0","10.5978","67.5920646304176","-143.61572265625","-211.207787286668","2024_06_25_0006_ev00288_rec0","no","211956","2024_06_25_0006","10.5868","181087","211747","10.587349999999999","-133.85009765625","-9.765625"
"[{'Event.Number': '262', 'Record': '0', 'Event.Time..s.': '10.5352', 'Baseline..pA.': '-74.4948537917364', 'Peak..pA.': '-193.664535522461', 'Amplitude..pA.': '-119.169681730725', 'Rise.Time..ms.': '21.3999999999999', 'Half.Width..ms.': '54.3499999999995', 'Decay.Time..ms.': '29.9999999999994', 'Decay.Fit.b0': '-177.609302368377', 'Decay.Fit.b1': '-16.95303559615', 'Decay.Fit.Tau..ms.': '4.37660035725943', 'AUC..pA.ms.': '-5495.1026190349', 'rise_max_time': '10.5322', 'baseline_time': '10.5108', 'event_index': '210704', 'file_prefix': '2024_06_25_0007', 'event_id': '2024_06_25_0007_ev00262_rec0', 'noise': 'no', 'event_entry_number': '183659', 'corrected_baseline_index': 210227, 'corrected_baseline_time': np.float64(10.511349999999998), 'corrected_baseline_pA': np.float64(-164.61180114746094), 'corrected_amplitude_pA': np.float64(-29.052734375000057)}]","2024_06_25_0007.abf",210211,"[np.float64(10.510549999999999), np.float64(10.510599999999998), np.float64(10.510649999999998), np.float64(10.5107), np.float64(10.51075), np.float64(10.5108), np.float64(10.51085)]",210217,0,"262","0","10.5352","-74.4948537917364","-193.664535522461","-119.169681730725","2024_06_25_0007_ev00262_rec0","no","210704","2024_06_25_0007","10.5108","183659","210227","10.511349999999998","-164.61180114746094","-29.052734375000057"
"[{'Event.Number': '234', 'Record': '0', 'Event.Time..s.': '10.77445', 'Baseline..pA.': '-112.621475219727', 'Peak..pA.': '161.254867553711', 'Amplitude..pA.': '273.876342773438', 'Rise.Time..ms.': '0', 'Half.Width..ms.': '9.85000000000014', 'Decay.Time..ms.': '0', 'Decay.Fit.b0': '32702.1964285039', 'Decay.Fit.b1': '-32554.0943686313', 'Decay.Fit.Tau..ms.': '227278.846718737', 'AUC..pA.ms.': '11731.7276294708', 'rise_max_time': '10.7646', 'baseline_time': '10.7604', 'event_index': '215489', 'file_prefix': '2024_06_25_0010', 'event_id': '2024_06_25_0010_ev00234_rec0', 'noise': 'no', 'event_entry_number': '188244', 'corrected_baseline_index': 215223, 'corrected_baseline_time': np.float64(10.761149999999999), 'corrected_baseline_pA': np.float64(165.10008239746094), 'corrected_amplitude_pA': np.float64(-3.845214843749943)}]","2024_06_25_0010.abf",215205,"[np.float64(10.76025), np.float64(10.760299999999999), np.float64(10.760349999999999), np.float64(10.760399999999999), np.float64(10.760449999999999), np.float64(10.760499999999999), np.float64(10.760549999999999), np.float64(10.760599999999998), np.float64(10.760649999999998)]",215213,0,"234","0","10.77445","-112.621475219727","161.254867553711","273.876342773438","2024_06_25_0010_ev00234_rec0","no","215489","2024_06_25_0010","10.7604","188244","215223","10.761149999999999","165.10008239746094","-3.845214843749943"
"[{'Event.Number': '543', 'Record': '2', 'Event.Time..s.': '60.40335', 'Baseline..pA.': '-83.0804654530117', 'Peak..pA.': '85.4492111206055', 'Amplitude..pA.': '168.529676573617', 'Rise.Time..ms.': '0.250000000001194', 'Half.Width..ms.': '56.750000000001', 'Decay.Time..ms.': '29.999999999994', 'Decay.Fit.b0': '77.2540572051725', 'Decay.Fit.b1': '5.94131992094933', 'Decay.Fit.Tau..ms.': '7.99917335001232', 'AUC..pA.ms.': '9115.78193078382', 'rise_max_time': '60.37685', 'baseline_time': '60.3766', 'event_index': '208067', 'file_prefix': '2024_06_25_0019', 'event_id': '2024_06_25_0019_ev00543_rec2', 'noise': 'no', 'event_entry_number': '199090', 'corrected_baseline_index': 207544, 'corrected_baseline_time': np.float64(60.3772), 'corrected_baseline_pA': np.float64(69.82421875), 'corrected_amplitude_pA': np.float64(15.624992370605497)}]","2024_06_25_0019.abf",207526,"[np.float64(60.3763), np.float64(60.37635), np.float64(60.3764), np.float64(60.37645), np.float64(60.3765), np.float64(60.37655), np.float64(60.376599999999996), np.float64(60.37665), np.float64(60.3767)]",207534,2,"543","2","60.40335","-83.0804654530117","85.4492111206055","168.529676573617","2024_06_25_0019_ev00543_rec2","no","208067","2024_06_25_0019","60.3766","199090","207544","60.3772","69.82421875","15.624992370605497"
"[{'Event.Number': '1181', 'Record': '3', 'Event.Time..s.': '85.251', 'Baseline..pA.': '329.793282100133', 'Peak..pA.': '-101.318351745605', 'Amplitude..pA.': '-431.111633845738', 'Rise.Time..ms.': '0.999999999990564', 'Half.Width..ms.': '39.449999999988', 'Decay.Time..ms.': '29.9999999999869', 'Decay.Fit.b0': '-86.3422548987356', 'Decay.Fit.b1': '-17.0859919523599', 'Decay.Fit.Tau..ms.': '3.31114131475693', 'AUC..pA.ms.': '-16543.8021397863', 'rise_max_time': '85.24255', 'baseline_time': '85.24155', 'event_index': '205020', 'file_prefix': '2024_08_27_0005', 'event_id': '2024_08_27_0005_ev01181_rec3', 'noise': 'no', 'event_entry_number': '203501', 'corrected_baseline_index': 204842, 'corrected_baseline_time': np.float64(85.2421), 'corrected_baseline_pA': np.float64(-73.8525390625), 'corrected_amplitude_pA': np.float64(-27.465812683105)}]","2024_08_27_0005.abf",204825,"[np.float64(85.24125), np.float64(85.2413), np.float64(85.24135), np.float64(85.2414), np.float64(85.24145), np.float64(85.2415), np.float64(85.24155), np.float64(85.24159999999999)]",204832,3,"1181","3","85.251","329.793282100133","-101.318351745605","-431.111633845738","2024_08_27_0005_ev01181_rec3","no","205020","2024_08_27_0005","85.24155","203501","204842","85.2421","-73.8525390625","-27.465812683105"
"[{'Event.Number': '1185', 'Record': '3', 'Event.Time..s.': '85.3885', 'Baseline..pA.': '-3.25520634651184', 'Peak..pA.': '-94.6044845581055', 'Amplitude..pA.': '-91.3492782115936', 'Rise.Time..ms.': '0.550000000004047', 'Half.Width..ms.': '33.850000000001', 'Decay.Time..ms.': '30.0000000000011', 'Decay.Fit.b0': '-75.7621063249726', 'Decay.Fit.b1': '-19.9937424101124', 'Decay.Fit.Tau..ms.': '14.5385432076638', 'AUC..pA.ms.': '-2762.57311884761', 'rise_max_time': '85.3852', 'baseline_time': '85.38465', 'event_index': '207770', 'file_prefix': '2024_08_27_0005', 'event_id': '2024_08_27_0005_ev01185_rec3', 'noise': 'no', 'event_entry_number': '203505', 'corrected_baseline_index': 207704, 'corrected_baseline_time': np.float64(85.3852), 'corrected_baseline_pA': np.float64(-86.05956268310547), 'corrected_amplitude_pA': np.float64(-8.544921875000028)}]","2024_08_27_0005.abf",207687,"[np.float64(85.38435), np.float64(85.3844), np.float64(85.38445), np.float64(85.3845), np.float64(85.38455), np.float64(85.38459999999999), np.float64(85.38465), np.float64(85.3847)]",207694,3,"1185","3","85.3885","-3.25520634651184","-94.6044845581055","-91.3492782115936","2024_08_27_0005_ev01185_rec3","no","207770","2024_08_27_0005","85.38465","203505","207704","85.3852","-86.05956268310547","-8.544921875000028"
"[{'Event.Number': '1189', 'Record': '3', 'Event.Time..s.': '85.6018', 'Baseline..pA.': '246.436698731922', 'Peak..pA.': '-101.928703308105', 'Amplitude..pA.': '-348.365402040027', 'Rise.Time..ms.': '0.300000000009959', 'Half.Width..ms.': '32.7500000000072', 'Decay.Time..ms.': '30.0000000000011', 'Decay.Fit.b0': '-82.3003655374863', 'Decay.Fit.b1': '-13.0511798179481', 'Decay.Fit.Tau..ms.': '5.78175124046378', 'AUC..pA.ms.': '-10853.9626554171', 'rise_max_time': '85.59935', 'baseline_time': '85.59905', 'event_index': '212036', 'file_prefix': '2024_08_27_0005', 'event_id': '2024_08_27_0005_ev01189_rec3', 'noise': 'no', 'event_entry_number': '203509', 'corrected_baseline_index': 211992, 'corrected_baseline_time': np.float64(85.5996), 'corrected_baseline_pA': np.float64(-78.125), 'corrected_amplitude_pA': np.float64(-23.803703308105)}]","2024_08_27_0005.abf",211976,"[np.float64(85.5988), np.float64(85.59885), np.float64(85.5989), np.float64(85.59895), np.float64(85.599), np.float64(85.59904999999999), np.float64(85.59909999999999)]",211982,3,"1189","3","85.6018","246.436698731922","-101.928703308105","-348.365402040027","2024_08_27_0005_ev01189_rec3","no","212036","2024_08_27_0005","85.59905","203509","211992","85.5996","-78.125","-23.803703308105"
"[{'Event.Number': '64', 'Record': '0', 'Event.Time..s.': '10.36565', 'Baseline..pA.': '67.138671875', 'Peak..pA.': '-37.841796875', 'Amplitude..pA.': '-104.98046875', 'Rise.Time..ms.': '3.50000000000072', 'Half.Width..ms.': '34.6000000000011', 'Decay.Time..ms.': '30.0000000000011', 'Decay.Fit.b0': '-23.0186880504576', 'Decay.Fit.b1': '-8.84676999588703', 'Decay.Fit.Tau..ms.': '1.94112763916325', 'AUC..pA.ms.': '-3131.22553769946', 'rise_max_time': '10.36445', 'baseline_time': '10.3609', 'event_index': '207313', 'file_prefix': '2024_08_27_0013', 'event_id': '2024_08_27_0013_ev00064_rec0', 'noise': 'no', 'event_entry_number': '206836', 'corrected_baseline_index': 207232, 'corrected_baseline_time': np.float64(10.3616), 'corrected_baseline_pA': np.float64(-15.258788108825684), 'corrected_amplitude_pA': np.float64(-22.583008766174316)}]","2024_08_27_0013.abf",207217,"[np.float64(10.36085), np.float64(10.360899999999999), np.float64(10.360949999999999), np.float64(10.360999999999999), np.float64(10.361049999999999), np.float64(10.361099999999999)]",207222,0,"64","0","10.36565","67.138671875","-37.841796875","-104.98046875","2024_08_27_0013_ev00064_rec0","no","207313","2024_08_27_0013","10.3609","206836","207232","10.3616","-15.258788108825684","-22.583008766174316"
