corrected_baseline_pA,event_id,Record,Peak..pA.,corrected_amplitude_pA,Decay.Fit.b0,rise_max_time,event_entry_number,Event.Time..s.,file_prefix,Event.Number,corrected_baseline_index,corrected_baseline_time,Decay.Fit.Tau..ms.,event_index,baseline_time,Rise.Time..ms.,noise,Amplitude..pA.,Half.Width..ms.,Decay.Fit.b1,AUC..pA.ms.,Decay.Time..ms.,Baseline..pA.
,2026_01_14_0036_ev00217_rec0,0,-152.89306640625,,-147.872934881353,12.0281,277040,12.02865,2026_01_14_0036,217,,,3.26890966207988,240573,12.028,0.0999999999997669,no,-4.89734468005952,4.50000000000017,-8.43369610860389,-27.3081328074136,4.79999999999947,-147.99572172619
,2026_01_14_0036_ev00218_rec0,0,-238.952621459961,,-152.780288945707,12.06225,277041,12.06455,2026_01_14_0036,218,,,8.94552554894816,241291,12.0571,4.79999999999947,no,-91.4800582159133,11.1999999999988,-89.7055580418171,-1331.15778754098,10.250000000001,-147.472563244048
,2026_01_14_0036_ev00219_rec0,0,-158.0810546875,,-146.23375876717,12.1111,277042,12.11135,2026_01_14_0036,219,,,19.1943256041894,242227,12.111,0.0999999999997669,no,-4.18526785714286,0.199999999999534,-8.236623099766,104.199000767299,0,-153.895786830357
,2026_01_14_0036_ev00220_rec0,0,-151.06201171875,,-134.632840080724,12.20485,277043,12.20495,2026_01_14_0036,220,,,82.0720428729624,244099,12.20415,0.700000000000145,no,-5.79833984375,10.3999999999989,-15.2553437856297,-69.4808959960938,14.5499999999998,-145.263671875
,2026_01_14_0036_ev00221_rec0,0,-166.320785522461,,-148.287956143455,12.24105,277044,12.24205,2026_01_14_0036,221,,,7.1940596939086,244841,12.2392,1.40000000000029,no,-20.3886333647228,4.90000000000101,-13.1331784574675,-196.326456923712,6.70000000000037,-145.932152157738
,2026_01_14_0036_ev00222_rec0,0,-168.457015991211,,-140.51461915573,12.2916,277045,12.29165,2026_01_14_0036,222,,,26.0199042111668,245833,12.2893,1.79999999999936,no,-15.0989198230562,4.59999999999994,-22.8583226112675,-40.0749625069755,5.59999999999938,-153.358096168155
,2026_01_14_0036_ev00223_rec0,0,-158.0810546875,,-146.583993638649,12.3261,277046,12.3261,2026_01_14_0036,223,,,11.6693539776714,246522,12.3259,0.0499999999998835,no,-6.9027855282738,0.14999999999965,-5.43724688777792,78.718639555432,0,-151.178269159226
,2026_01_14_0036_ev00224_rec0,0,-157.77587890625,,-152.163371169492,12.41345,277047,12.4143,2026_01_14_0036,224,,,1.27803833633178,248286,12.41095,1.40000000000029,no,-6.36509486607142,4.09999999999933,-5.51514025818013,-46.6046884809217,1.59999999999982,-151.410784040179
,2026_01_14_0036_ev00225_rec0,0,-160.21728515625,,-150.936738320582,12.43805,277048,12.43845,2026_01_14_0036,225,,,5.09350748118486,248769,12.4351,2.54999999999939,no,-12.20703125,8.39999999999996,-9.65745359656411,-162.467945098877,9.19999999999988,-148.01025390625
,2026_01_14_0036_ev00226_rec0,0,-177.917465209961,,-153.088452443862,12.48045,277049,12.4805,2026_01_14_0036,226,,,7.69109773978643,249610,12.47805,2.29999999999997,no,-25.7946043468657,6.59999999999883,-23.0166184331659,-238.833310336158,7.60000000000005,-152.122860863095
,2026_01_14_0036_ev00227_rec0,0,-154.72412109375,,-149.475832587634,12.5182,277050,12.51875,2026_01_14_0036,227,,,10.757796887755,250375,12.518,0.199999999999534,no,-4.57763671875,10.4000000000006,-7.33604737079741,-59.0438827514648,12.2,-150.146484375
,2026_01_14_0036_ev00228_rec0,0,-156.55517578125,,-345330.299143962,12.5782,277051,12.5784,2026_01_14_0036,228,,,305992.115236248,251568,12.5781,0.0999999999997669,no,-4.85374813988096,11.4000000000001,345188.923702729,-198.880395634969,10.7499999999998,-151.701427641369
,2026_01_14_0036_ev00229_rec0,0,-189.819320678711,,-147.15519563729,12.60205,277052,12.6031,2026_01_14_0036,229,,,7.32769892416991,252062,12.60015,1.64999999999971,no,-40.8499428885324,7.7499999999997,-46.9664460614109,-371.153519766671,7.49999999999851,-148.969377790179
,2026_01_14_0036_ev00230_rec0,0,-157.77587890625,,-149.094216913583,12.6837,277053,12.68515,2026_01_14_0036,230,,,7.87855155034967,253703,12.6832,0.449999999998951,no,-5.20252046130952,3.00000000000011,-8.52499847648494,29.1075994582405,3.60000000000049,-152.57335844494
,2026_01_14_0036_ev00231_rec0,0,-153.1982421875,,-443542.184632116,12.7572,277054,12.75875,2026_01_14_0036,231,,,458142.84428516,255175,12.7566,0.550000000000495,no,-4.1562034970238,10.349999999999,443399.642690604,-246.75338852292,8.3000000000002,-149.042038690476
,2026_01_14_0036_ev00232_rec0,0,-186.157211303711,,-154.575511376332,12.78225,277055,12.78285,2026_01_14_0036,232,,,6.00450176497302,255657,12.7802,2.00000000000067,no,-38.5974549793062,8.20000000000043,-34.2002782130675,-482.325776454381,9.30000000000142,-147.559756324405
,2026_01_14_0036_ev00233_rec0,0,-162.048324584961,,-151.314376406133,12.8146,277056,12.8147,2026_01_14_0036,233,,,5.56111835431916,256294,12.8144,0.199999999999534,no,-6.88823808942522,0.199999999999534,-7.09563509561899,74.4857849121096,0.600000000000378,-155.160086495536
,2026_01_14_0036_ev00234_rec0,0,-159.912109375,,-147.552382167477,12.8403,277057,12.8403,2026_01_14_0036,234,,,6.74211500392736,256806,12.8401,0.199999999999534,no,-6.45228794642858,0.0499999999998835,-6.73598993261091,131.931849888392,0,-153.459821428571
,2026_01_14_0036_ev00235_rec0,0,-157.16552734375,,-147.326617743782,13.001,277058,13.0015,2026_01_14_0036,235,,,4.33921134263423,260030,12.99995,0.900000000001455,no,-9.56217447916666,2.95000000000023,-9.31395566836954,-41.2851969401039,3.84999999999991,-147.603352864583
,2026_01_14_0036_ev00236_rec0,0,-174.255355834961,,-154.615406536627,13.0424,277059,13.0434,2026_01_14_0036,236,,,3.21263191125209,260868,13.03795,4.35000000000052,no,-20.4031655447824,4.55000000000005,-18.8251938770109,-119.541570499965,3.30000000000119,-153.852190290179
,2026_01_14_0036_ev00237_rec0,0,-159.60693359375,,-150.900503638684,13.0675,277060,13.06795,2026_01_14_0036,237,,,9.53717727015886,261359,13.0652,2.2000000000002,no,-7.00451078869048,8.44999999999985,-9.68775072336465,-57.1568471272788,7.7499999999997,-152.60242280506
,2026_01_14_0036_ev00238_rec0,0,-162.658676147461,,-154.699898629235,13.1339,277061,13.1353,2026_01_14_0036,238,,,4.24014769164796,262706,13.1332,0.700000000000145,no,-10.71020144508,4.59999999999994,-7.31049987023952,-126.435735139392,7.60000000000005,-151.948474702381
